"1967_NFL/AFL_Draft"
row	col	start	end	text	url	entity	entity_desc	old_entity	old_entity_desc
0	0	0	13	Chicago Bears	http://en.wikipedia.org/wiki/1967_Chicago_Bears_season	Q205033	Chicago Bears (Q205033)	Q3514495	1967 Chicago Bears season (Q3514495)
1	0	0	14	Dallas Cowboys	http://en.wikipedia.org/wiki/1967_Dallas_Cowboys_season	Q204862	Dallas Cowboys (Q204862)	Q3513984	1967 Dallas Cowboys season (Q3513984)
2	0	0	14	Dallas Cowboys	http://en.wikipedia.org/wiki/1967_Dallas_Cowboys_season	Q204862	Dallas Cowboys (Q204862)	Q3513984	1967 Dallas Cowboys season (Q3513984)
3	0	0	14	Dallas Cowboys	http://en.wikipedia.org/wiki/1967_Dallas_Cowboys_season	Q204862	Dallas Cowboys (Q204862)	Q3513984	1967 Dallas Cowboys season (Q3513984)
4	0	0	14	Denver Broncos	http://en.wikipedia.org/wiki/1967_Denver_Broncos_season	Q223507	Denver Broncos (Q223507)	Q2909454	1967 Denver Broncos season (Q2909454)
5	0	0	14	Houston Oilers	http://en.wikipedia.org/wiki/1967_Houston_Oilers_season	Q1439096	Houston Oilers (Q1439096)	Q2909326	1967 Houston Oilers season (Q2909326)
6	0	0	18	Kansas City Chiefs	http://en.wikipedia.org/wiki/1967_Kansas_City_Chiefs_season	Q223522	Kansas City Chiefs (Q223522)	Q2909480	1967 Kansas City Chiefs season (Q2909480)
7	0	0	18	New Orleans Saints	http://en.wikipedia.org/wiki/1967_New_Orleans_Saints_season	Q172435	New Orleans Saints (Q172435)	Q3514023	1967 New Orleans Saints season (Q3514023)
8	0	0	15	New York Giants	http://en.wikipedia.org/wiki/1967_New_York_Giants_season	Q190618	New York Giants (Q190618)	Q3514187	1967 New York Giants season (Q3514187)
9	0	0	13	New York Jets	http://en.wikipedia.org/wiki/1967_New_York_Jets_season	Q219602	New York Jets (Q219602)	Q2909399	1967 New York Jets season (Q2909399)
10	0	0	13	New York Jets	http://en.wikipedia.org/wiki/1967_New_York_Jets_season	Q219602	New York Jets (Q219602)	Q2909399	1967 New York Jets season (Q2909399)
11	0	0	19	Pittsburgh Steelers	http://en.wikipedia.org/wiki/1967_Pittsburgh_Steelers_season	Q191477	Pittsburgh Steelers (Q191477)	Q3514222	1967 Pittsburgh Steelers season (Q3514222)
12	0	0	18	San Diego Chargers	http://en.wikipedia.org/wiki/1967_San_Diego_Chargers_season	Q272220	Los Angeles Chargers (Q272220)	Q2909538	1967 San Diego Chargers season (Q2909538)
13	0	0	18	San Diego Chargers	http://en.wikipedia.org/wiki/1967_San_Diego_Chargers_season	Q272220	Los Angeles Chargers (Q272220)	Q2909538	1967 San Diego Chargers season (Q2909538)
14	0	0	18	San Diego Chargers	http://en.wikipedia.org/wiki/1967_San_Diego_Chargers_season	Q272220	Los Angeles Chargers (Q272220)	Q2909538	1967 San Diego Chargers season (Q2909538)
15	0	0	19	San Francisco 49ers	http://en.wikipedia.org/wiki/1967_San_Francisco_49ers_season	Q337758	San Francisco 49ers (Q337758)	Q3514426	1967 San Francisco 49ers season (Q3514426)
0	3	0	7	Indiana	http://en.wikipedia.org/wiki/1966_Indiana_Hoosiers_football_team	Q1079140	Indiana University Bloomington (Q1079140)	Q21188085	1966 Indiana Hoosiers football team (Q21188085)
1	3	0	13	Jackson State	http://en.wikipedia.org/wiki/Jackson_State_Tigers_football	Q1747601	Jackson State University (Q1747601)	Q6117383	Jackson State Tigers football (Q6117383)
2	3	0	13	Montana State	http://en.wikipedia.org/wiki/Montana_State_University	Q1861687	Montana State University (Q1861687)	Q1861687	Montana State University (Q1861687)
3	3	0	10	Texas Tech	http://en.wikipedia.org/wiki/1966_Texas_Tech_Red_Raiders_football_team	Q1423756	Texas Tech University (Q1423756)	Q41603579	1966 Texas Tech Red Raiders football team (Q41603579)
4	3	0	8	Maryland	http://en.wikipedia.org/wiki/1966_Maryland_Terrapins_football_team	Q503415	University of Maryland (Q503415)	Q25004487	1966 Maryland Terrapins football team (Q25004487)
5	3	0	16	Prairie View A&M	http://en.wikipedia.org/wiki/Prairie_View_A%26M_Panthers_football	Q3306469	Prairie View A&M University (Q3306469)	Q7238023	Prairie View A&M Panthers football (Q7238023)
