"Walter_Payton_Award"
row	col	start	end	text	url	entity	entity_desc	old_entity	old_entity_desc
0	2	0	18	North Dakota State	http://en.wikipedia.org/wiki/2019_North_Dakota_State_Bison_football_team	Q2000624	North Dakota State University (Q2000624)	Q73922580	2019 North Dakota State Bison football team (Q73922580)
1	2	0	7	Samford	http://en.wikipedia.org/wiki/2018_Samford_Bulldogs_football_team	Q6381586	Samford University (Q6381586)	Q55264318	2018 Samford Bulldogs football team (Q55264318)
2	2	0	17	Sam Houston State	http://en.wikipedia.org/wiki/2016_Sam_Houston_State_Bearkats_football_team	Q1422594	Sam Houston State University (Q1422594)	Q24260888	2016 Sam Houston State Bearkats football team (Q24260888)
3	2	0	17	Sam Houston State	http://en.wikipedia.org/wiki/2016_Sam_Houston_State_Bearkats_football_team	Q1422594	Sam Houston State University (Q1422594)	Q24260888	2016 Sam Houston State Bearkats football team (Q24260888)
4	2	0	18	Eastern Washington	http://en.wikipedia.org/wiki/2015_Eastern_Washington_Eagles_football_team	Q1278253	Eastern Washington University (Q1278253)	Q19867738	2015 Eastern Washington Eagles football team (Q19867738)
5	2	0	9	Villanova	http://en.wikipedia.org/wiki/2014_Villanova_Wildcats_football_team	Q1466001	Villanova University (Q1466001)	Q17002703	2014 Villanova Wildcats football team (Q17002703)
6	2	0	16	Eastern Illinois	http://en.wikipedia.org/wiki/2013_Eastern_Illinois_Panthers_football_team	Q624985	Eastern Illinois University (Q624985)	Q16971879	2013 Eastern Illinois Panthers football team (Q16971879)
7	2	0	12	Old Dominion	http://en.wikipedia.org/wiki/2012_Old_Dominion_Monarchs_football_team	Q1474100	Old Dominion University (Q1474100)	Q4626429	2012 Old Dominion Monarchs football team (Q4626429)
8	2	0	18	Eastern Washington	http://en.wikipedia.org/wiki/2011_Eastern_Washington_Eagles_football_team	Q1278253	Eastern Washington University (Q1278253)	Q4620950	2011 Eastern Washington Eagles football team (Q4620950)
9	2	0	17	Stephen F. Austin	http://en.wikipedia.org/wiki/2010_Stephen_F._Austin_Lumberjacks_football_team	Q2344683	Stephen F. Austin State University (Q2344683)	Q28448876	2010 Stephen F. Austin Lumberjacks football team (Q28448876)
10	2	0	17	Appalachian State	http://en.wikipedia.org/wiki/2009_Appalachian_State_Mountaineers_football_team	Q620640	Appalachian State University (Q620640)	Q4613204	2009 Appalachian State Mountaineers football team (Q4613204)
11	2	0	17	Appalachian State	http://en.wikipedia.org/wiki/2008_Appalachian_State_Mountaineers_football_team	Q620640	Appalachian State University (Q620640)	Q4610496	2008 Appalachian State Mountaineers football team (Q4610496)
12	2	0	16	Georgia Southern	http://en.wikipedia.org/wiki/2007_Georgia_Southern_Eagles_football_team	Q624959	Georgia Southern University (Q624959)	Q4608537	2007 Georgia Southern Eagles football team (Q4608537)
13	2	0	13	New Hampshire	http://en.wikipedia.org/wiki/2006_New_Hampshire_Wildcats_football_team	Q49207	University of New Hampshire (Q49207)	Q18706098	2006 New Hampshire Wildcats football team (Q18706098)
14	2	0	18	Eastern Washington	http://en.wikipedia.org/wiki/Eastern_Washington_Eagles_football	Q1278253	Eastern Washington University (Q1278253)	Q16192128	Eastern Washington Eagles football (Q16192128)
15	2	0	14	William & Mary	http://en.wikipedia.org/wiki/2004_William_%26_Mary_Tribe_football_team	Q875637	College of William & Mary (Q875637)	Q4603459	2004 William & Mary Tribe football team (Q4603459)
16	2	0	7	Colgate	http://en.wikipedia.org/wiki/Colgate_Raiders_football	Q1191335	Colgate University (Q1191335)	Q5144783	Colgate Raiders football (Q5144783)
17	2	0	16	Eastern Illinois	http://en.wikipedia.org/wiki/2002_Eastern_Illinois_Panthers_football_team	Q624985	Eastern Illinois University (Q624985)	Q22094977	2002 Eastern Illinois Panthers football team (Q22094977)
18	2	0	9	Villanova	http://en.wikipedia.org/wiki/Villanova_Wildcats_football	Q1466001	Villanova University (Q1466001)	Q7930885	Villanova Wildcats football (Q7930885)
19	2	0	6	Furman	http://en.wikipedia.org/wiki/Furman_Paladins_football	Q1475020	Furman University (Q1475020)	Q5509586	Furman Paladins football (Q5509586)
20	2	0	16	Georgia Southern	http://en.wikipedia.org/wiki/1999_Georgia_Southern_Eagles_football_team	Q624959	Georgia Southern University (Q624959)	Q22097156	1999 Georgia Southern Eagles football team (Q22097156)
21	2	0	13	New Hampshire	http://en.wikipedia.org/wiki/New_Hampshire_Wildcats_football	Q49207	University of New Hampshire (Q49207)	Q7008335	New Hampshire Wildcats football (Q7008335)
22	2	0	9	Villanova	http://en.wikipedia.org/wiki/Villanova_Wildcats_football	Q1466001	Villanova University (Q1466001)	Q7930885	Villanova Wildcats football (Q7930885)
23	2	0	16	Northern Arizona	http://en.wikipedia.org/wiki/Northern_Arizona_Lumberjacks_football	Q139901	Northern Arizona University (Q139901)	Q7058128	Northern Arizona Lumberjacks football (Q7058128)
24	2	0	7	Montana	http://en.wikipedia.org/wiki/1995_Montana_Grizzlies_football_team	Q2302336	University of Montana (Q2302336)	Q4590488	1995 Montana Grizzlies football team (Q4590488)
25	2	0	12	Alcorn State	http://en.wikipedia.org/wiki/1994_Alcorn_State_Braves_football_team	Q1805243	Alcorn State University (Q1805243)	Q19864121	1994 Alcorn State Braves football team (Q19864121)
26	2	0	5	Idaho	http://en.wikipedia.org/wiki/1993_Idaho_Vandals_football_team	Q1854488	University of Idaho (Q1854488)	Q28449286	1993 Idaho Vandals football team (Q28449286)
27	2	0	8	Marshall	http://en.wikipedia.org/wiki/1992_Marshall_Thundering_Herd_football_team	Q1379613	Marshall University (Q1379613)	Q4587762	1992 Marshall Thundering Herd football team (Q4587762)
28	2	0	11	Weber State	http://en.wikipedia.org/wiki/1991_Weber_State_Wildcats_football_team	Q1787152	Weber State University (Q1787152)	Q85726530	1991 Weber State Wildcats football team (Q85726530)
29	2	0	9	Grambling	http://en.wikipedia.org/wiki/Grambling_State_Tigers_football	Q5593620	Grambling State University (Q5593620)	Q5593614	Grambling State Tigers football (Q5593614)
30	2	0	5	Idaho	http://en.wikipedia.org/wiki/1989_Idaho_Vandals_football_team	Q1854488	University of Idaho (Q1854488)	Q4585219	1989 Idaho Vandals football team (Q4585219)
31	2	0	12	Towson State	http://en.wikipedia.org/wiki/Towson_Tigers_football	Q1474129	Towson University (Q1474129)	Q7830321	Towson Tigers football (Q7830321)
32	2	0	7	Colgate	http://en.wikipedia.org/wiki/Colgate_Raiders_football	Q1191335	Colgate University (Q1191335)	Q5144783	Colgate Raiders football (Q5144783)
