"2016–17_Pro_A_season"
row	col	start	end	text	url	entity	entity_desc	old_entity	old_entity_desc
0	2	0	10	Azur Arena		Q15150474	Azur Arena Antibes (Q15150474)		
1	2	0	20	Salle Gaston Médecin	http://en.wikipedia.org/wiki/Salle_Gaston_M%C3%A9decin	Q22936222	Salle Gaston Médecin (Q22936222)	Q22936222	Salle Gaston Médecin (Q22936222)
2	2	0	10	Astroballe	http://en.wikipedia.org/wiki/Astroballe	Q8546	Astroballe (Q8546)	Q8546	Astroballe (Q8546)
3	2	0	8	Sportica	http://en.wikipedia.org/wiki/Gravelines_Sportica	Q3494044	Gravelines Sportica (Q3494044)	Q3494044	Gravelines Sportica (Q3494044)
4	2	0	17	Complexe René-Tys		Q2990465	Complexe René Tys (Q2990465)		
5	2	0	13	La Meilleraie	http://en.wikipedia.org/wiki/La_Meilleraie	Q1164904	La Meilleraie (Q1164904)	Q1164904	La Meilleraie (Q1164904)
6	2	0	24	Palais des Sports de Pau	http://en.wikipedia.org/wiki/Palais_des_Sports_de_Pau	Q778495	Palais des Sports de Pau (Q778495)	Q778495	Palais des Sports de Pau (Q778495)
7	2	0	10	Le Colisée	http://en.wikipedia.org/wiki/Le_Colis%C3%A9e	Q3221561	Le Colisée (Q3221561)	Q3221561	Le Colisée (Q3221561)
9	2	0	27	Palais des Sports de Toulon	http://en.wikipedia.org/wiki/Palais_des_Sports_de_Toulon	Q3361123	Palais des Sports de Toulon (Q3361123)	Q3361123	Palais des Sports de Toulon (Q3361123)
10	2	0	26	Palais des Sports de Dijon	http://en.wikipedia.org/wiki/Palais_des_Sports_de_Dijon	Q770637	Palais des Sports de Dijon (Q770637)	Q770637	Palais des Sports de Dijon (Q770637)
11	2	0	29	Palais des Sports de Nanterre	http://en.wikipedia.org/wiki/Palais_des_Sports_de_Nanterre	Q14931634	Palais des Sports Maurice Thorez (Q14931634)	Q14931634	Palais des Sports Maurice Thorez (Q14931634)
12	2	0	7	Antarès	http://en.wikipedia.org/wiki/Antar%C3%A8s	Q571481	Antarès (Q571481)	Q571481	Antarès (Q571481)
13	2	0	9	Beaublanc	http://en.wikipedia.org/wiki/Palais_des_Sports_de_Fetes	Q3361141	Palais des Sports de Beaublanc (Q3361141)	Q3361141	Palais des Sports de Beaublanc (Q3361141)
14	2	0	16	Zénith d'Orléans	http://en.wikipedia.org/wiki/Z%C3%A9nith_d%27Orl%C3%A9ans	Q3576482	Zénith d'Orléans (Q3576482)	Q3576482	Zénith d'Orléans (Q3576482)
15	2	0	25	Stade Pierre de Coubertin	http://en.wikipedia.org/wiki/Stade_Pierre_de_Coubertin_(Paris)	Q462240	Stade Pierre de Coubertin (Q462240)	Q462240	Stade Pierre de Coubertin (Q462240)
16	2	0	29	Palais des Sports Jean Weille	http://en.wikipedia.org/wiki/Palais_des_Sports_Jean_Weille	Q3361126	Palais des Sports Jean Weille (Q3361126)	Q3361126	Palais des Sports Jean Weille (Q3361126)
17	2	0	12	Rhénus Sport	http://en.wikipedia.org/wiki/Rh%C3%A9nus_Sport	Q3429929	Rhenus Sport (Q3429929)	Q3429929	Rhenus Sport (Q3429929)
