column,row,GT_kg_id,GT_kg_label,label
1,49,Q503313,Ordinary People,Ordinary People
1,99,Q1008351,Rio Bravo,Rio Bravo
1,42,Q587419,Notorious,Notorious
1,0,Q127021,M,M
1,68,Q190643,Platoon,Platoon
1,53,Q51520,The Passion of Joan of Arc,The Passion of Joan of Arc
1,79,Q470560,The Quiet Man,The Quiet Man
1,4,Q588420,Magnolia,Magnolia
1,89,Q204212,Rebecca,Rebecca
1,14,Q190525,Memento,Memento
1,13,Q841335,Mean Streets,Mean Streets
1,36,Q1132629,The Night of the Hunter,The Night of the Hunter
1,70,Q729794,Pleasantville,Pleasantville
1,92,Q625780,The Red Shoes,The Red Shoes
1,110,Q748599,The Rules of the Game,The Rules of the Game
1,90,Q426346,Rebel Without a Cause,Rebel without a Cause
1,58,Q695255,Persona,Persona
1,101,Q1125262,Mad Max 2,The Road Warrior
1,74,Q315732,The Producers,The Producers
1,104,Q188652,Rocky,Rocky
1,50,Q332515,The Others,The Others
1,23,Q187726,"Monsters, Inc.","Monsters, Inc."
1,3,Q19069,The Magnificent Seven,The Magnificent Seven
1,19,Q244604,Minority Report,Minority Report
1,1,Q494085,MASH,M*A*S*H
1,15,Q51416,Men in Black,Men in Black
1,78,Q580716,Punch-Drunk Love,Punch-Drunk Love
1,7,Q555687,The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance
1,93,Q1625242,The Remains of the Day,The Remains of the Day
1,6,Q221462,The Maltese Falcon,The Maltese Falcon
1,20,Q838149,The Mirror,The Mirror
1,62,Q150804,The Pianist,The Pianist
1,11,Q83495,The Matrix,The Matrix
1,95,Q487181,Requiem for a Dream,Requiem for a Dream
1,33,Q1197684,The Natural,The Natural
1,100,Q468033,Road to Perdition,Road to Perdition
1,16,Q151599,Metropolis,Metropolis
1,88,Q34414,Rear Window,Rear Window
1,28,Q329709,Mutiny on the Bounty,Mutiny on the Bounty
1,72,Q506418,The Princess Bride,The Princess Bride
1,87,Q135465,Rashomon,Rash?mon
1,107,Q109564,Rope,Rope
1,48,Q171669,One Flew Over the Cuckoo\\'s Nest,One Flew over the Cuckoo's Nest
1,35,Q943992,A Night at the Opera,A Night at the Opera
1,83,Q188845,Rain Man,Rain Man
1,97,Q181803,Return of the Jedi,Return of the Jedi
1,45,Q211372,On the Waterfront,On the Waterfront
1,67,Q59534,Planet of the Apes,Planet of the Apes
1,38,Q322328,The Nightmare Before Christmas,The Nightmare Before Christmas
1,55,Q747936,Paths of Glory,Paths of Glory
1,47,Q168154,Once Upon a Time in the West,Once Upon a Time in the West
1,65,Q46717,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl
1,96,Q72962,Reservoir Dogs,Reservoir Dogs
1,108,Q607179,Rosemary\\'s Baby,Rosemary's Baby
1,94,Q405661,Repulsion,Repulsion
1,77,Q104123,Pulp Fiction,Pulp Fiction
1,105,Q751921,The Rocky Horror Picture Show,The Rocky Horror Picture Show
1,84,Q665146,Raise the Red Lantern,Raise the Red Lantern
1,17,Q61696,Midnight Cowboy,Midnight Cowboy
1,37,Q623051,Night of the Living Dead,Night of the Living Dead
1,56,Q217220,Patton,Patton
1,12,Q1423362,McCabe & Mrs. Miller,McCabe & Mrs. Miller
1,102,Q372514,RoboCop,RoboCop
1,85,Q670439,Raising Arizona,Raising Arizona
1,61,Q937762,Pi,Pi
1,76,Q163038,Psycho,Psycho
1,106,Q201293,Roman Holiday,Roman Holiday
1,5,Q923925,Malcolm X,Malcolm X
1,86,Q565231,Ran,Ran
1,82,Q174284,Raiders of the Lost Ark,Raiders of the Lost Ark
1,34,Q20830730,Network,Network
1,69,Q353589,Player,The Player
1,30,Q221586,Mystic River,Mystic River
