"2018_Angelique_Kerber_tennis_season"
row	col	start	end	text	url	entity	entity_desc	old_entity	old_entity_desc
0	1	0	20	Sydney International	http://en.wikipedia.org/wiki/2018_Sydney_International	Q248952	Sydney International (Q248952)	Q44865873	2018 Sydney International (Q44865873)
1	1	0	15	Australian Open	http://en.wikipedia.org/wiki/2018_Australian_Open	Q60874	Australian Open (Q60874)	Q42557150	2018 Australian Open (Q42557150)
2	1	0	10	Qatar Open	http://en.wikipedia.org/wiki/2018_Qatar_Total_Open	Q910967	Qatar Ladies Open (Q910967)	Q47487881	2018 Qatar Total Open (Q47487881)
3	1	0	26	Dubai Tennis Championships	http://en.wikipedia.org/wiki/2018_Dubai_Tennis_Championships	Q299409	Dubai Tennis Championships (Q299409)	Q47461116	2018 Dubai Tennis Championships (Q47461116)
4	1	0	17	Indian Wells Open	http://en.wikipedia.org/wiki/2018_BNP_Paribas_Open	Q974505	Indian Wells Masters (Q974505)	Q28913519	2018 BNP Paribas Open (Q28913519)
5	1	0	10	Miami Open	http://en.wikipedia.org/wiki/2018_Miami_Open	Q431360	Miami Open (Q431360)	Q48864976	2018 Miami Open (Q48864976)
6	1	0	14	Stuttgart Open	http://en.wikipedia.org/wiki/2018_Porsche_Tennis_Grand_Prix	Q311783	Porsche Tennis Grand Prix (Q311783)	Q51850940	2018 Porsche Tennis Grand Prix (Q51850940)
7	1	0	12	Italian Open	http://en.wikipedia.org/wiki/2018_Italian_Open_(tennis)	Q319496	Italian Open (Q319496)	Q52786987	2018 Italian Open (tennis) (Q52786987)
8	1	0	11	French Open	http://en.wikipedia.org/wiki/2018_French_Open	Q43605	French Open (Q43605)	Q30085136	2018 French Open (Q30085136)
9	1	0	13	Mallorca Open	http://en.wikipedia.org/wiki/2018_Mallorca_Open	Q3353596	Mallorca Open (Q3353596)	Q54918099	2018 Mallorca Open (Q54918099)
10	1	0	24	Eastbourne International	http://en.wikipedia.org/wiki/2018_Eastbourne_International	Q431569	Eastbourne International (Q431569)	Q54818237	2018 Eastbourne International (Q54818237)
11	1	0	9	Wimbledon	http://en.wikipedia.org/wiki/2018_Wimbledon_Championships	Q41520	Wimbledon Championships (Q41520)	Q30085309	2018 Wimbledon Championships (Q30085309)
12	1	0	13	Canadian Open	http://en.wikipedia.org/wiki/2018_Rogers_Cup	Q595467	Canadian Open (Q595467)	Q55829925	2018 Rogers Cup (Q55829925)
13	1	0	15	Cincinnati Open	http://en.wikipedia.org/wiki/2018_Western_%26_Southern_Open	Q461834	Cincinnati Masters (Q461834)	Q55829943	2018 Western & Southern Open (Q55829943)
14	1	0	7	US Open	http://en.wikipedia.org/wiki/2018_US_Open_(tennis)	Q123577	US Open (Q123577)	Q50391517	2018 US Open (Q50391517)
15	1	0	10	Wuhan Open	http://en.wikipedia.org/wiki/2018_Wuhan_Open	Q15650921	Wuhan Open (Q15650921)	Q56653826	2018 Wuhan Open (Q56653826)
16	1	0	10	China Open	http://en.wikipedia.org/wiki/2018_China_Open_(tennis)	Q121702	China Open (Q121702)	Q56713684	2018 China Open (tennis) (Q56713684)
