"1968_NFL/AFL_Draft"
row	col	start	end	text	url	entity	entity_desc	old_entity	old_entity_desc
0	1	0	17	Minnesota Vikings	http://en.wikipedia.org/wiki/1968_Minnesota_Vikings_season	Q221150	Minnesota Vikings (Q221150)	Q3515572	1968 Minnesota Vikings season (Q3515572)
1	1	0	18	Cincinnati Bengals	http://en.wikipedia.org/wiki/1968_Cincinnati_Bengals_season	Q223511	Cincinnati Bengals (Q223511)	Q2909919	1968 Cincinnati Bengals season (Q2909919)
2	1	0	15	Atlanta Falcons	http://en.wikipedia.org/wiki/1968_Atlanta_Falcons_season	Q272059	Atlanta Falcons (Q272059)	Q3515218	1968 Atlanta Falcons season (Q3515218)
3	1	0	18	San Diego Chargers	http://en.wikipedia.org/wiki/1968_San_Diego_Chargers_season	Q272220	Los Angeles Chargers (Q272220)	Q2910046	1968 San Diego Chargers season (Q2910046)
4	1	0	17	Green Bay Packers	http://en.wikipedia.org/wiki/1968_Green_Bay_Packers_season	Q213837	Green Bay Packers (Q213837)	Q3515497	1968 Green Bay Packers season (Q3515497)
5	1	0	15	Boston Patriots	http://en.wikipedia.org/wiki/1968_Boston_Patriots_season	Q193390	New England Patriots (Q193390)	Q2909628	1968 Boston Patriots season (Q2909628)
6	1	0	18	New Orleans Saints	http://en.wikipedia.org/wiki/1968_New_Orleans_Saints_season	Q172435	New Orleans Saints (Q172435)	Q3515046	1968 New Orleans Saints season (Q3515046)
7	1	0	14	Miami Dolphins	http://en.wikipedia.org/wiki/1968_Miami_Dolphins_season	Q223243	Miami Dolphins (Q223243)	Q2909709	1968 Miami Dolphins season (Q2909709)
8	1	0	13	Buffalo Bills	http://en.wikipedia.org/wiki/1968_Buffalo_Bills_season	Q221626	Buffalo Bills (Q221626)	Q2909662	1968 Buffalo Bills season (Q2909662)
9	1	0	19	Pittsburgh Steelers	http://en.wikipedia.org/wiki/1968_Pittsburgh_Steelers_season	Q191477	Pittsburgh Steelers (Q191477)	Q3515102	1968 Pittsburgh Steelers season (Q3515102)
10	1	0	13	Detroit Lions	http://en.wikipedia.org/wiki/1968_Detroit_Lions_season	Q271880	Detroit Lions (Q271880)	Q3515465	1968 Detroit Lions season (Q3515465)
11	1	0	19	Washington Redskins	http://en.wikipedia.org/wiki/1968_Washington_Redskins_season	Q212654	Washington Football Team (Q212654)	Q3514947	1968 Washington Redskins season (Q3514947)
12	1	0	19	St. Louis Cardinals	http://en.wikipedia.org/wiki/1968_St._Louis_Cardinals_(NFL)_season	Q224164	Arizona Cardinals (Q224164)	Q3515149	1968 St. Louis Cardinals season (Q3515149)
13	1	0	19	Philadelphia Eagles	http://en.wikipedia.org/wiki/1968_Philadelphia_Eagles_season	Q219714	Philadelphia Eagles (Q219714)	Q3514906	1968 Philadelphia Eagles season (Q3514906)
14	1	0	19	San Francisco 49ers	http://en.wikipedia.org/wiki/1968_San_Francisco_49ers_season	Q337758	San Francisco 49ers (Q337758)	Q3515342	1968 San Francisco 49ers season (Q3515342)
15	1	0	13	Chicago Bears	http://en.wikipedia.org/wiki/1968_Chicago_Bears_season	Q205033	Chicago Bears (Q205033)	Q3515409	1968 Chicago Bears season (Q3515409)
16	1	0	13	New York Jets	http://en.wikipedia.org/wiki/1968_New_York_Jets_season	Q219602	New York Jets (Q219602)	Q2909751	1968 New York Jets season (Q2909751)
17	1	0	18	San Diego Chargers	http://en.wikipedia.org/wiki/1968_San_Diego_Chargers_season	Q272220	Los Angeles Chargers (Q272220)	Q2910046	1968 San Diego Chargers season (Q2910046)
18	1	0	18	Kansas City Chiefs	http://en.wikipedia.org/wiki/1968_Kansas_City_Chiefs_season	Q223522	Kansas City Chiefs (Q223522)	Q2909999	1968 Kansas City Chiefs season (Q2909999)
19	1	0	14	Dallas Cowboys	http://en.wikipedia.org/wiki/1968_Dallas_Cowboys_season	Q204862	Dallas Cowboys (Q204862)	Q3514771	1968 Dallas Cowboys season (Q3514771)
20	1	0	16	Cleveland Browns	http://en.wikipedia.org/wiki/1968_Cleveland_Browns_season	Q223527	Cleveland Browns (Q223527)	Q3515007	1968 Cleveland Browns season (Q3515007)
21	1	0	18	Kansas City Chiefs	http://en.wikipedia.org/wiki/1968_Kansas_City_Chiefs_season	Q223522	Kansas City Chiefs (Q223522)	Q2909999	1968 Kansas City Chiefs season (Q2909999)
22	1	0	15	Baltimore Colts	http://en.wikipedia.org/wiki/1968_Baltimore_Colts_season	Q193753	Indianapolis Colts (Q193753)	Q3515248	1968 Baltimore Colts season (Q3515248)
23	1	0	13	Detroit Lions	http://en.wikipedia.org/wiki/1968_Detroit_Lions_season	Q271880	Detroit Lions (Q271880)	Q3515465	1968 Detroit Lions season (Q3515465)
24	1	0	15	Oakland Raiders	http://en.wikipedia.org/wiki/1968_Oakland_Raiders_season	Q324523	Las Vegas Raiders (Q324523)	Q2910019	1968 Oakland Raiders season (Q2910019)
25	1	0	17	Green Bay Packers	http://en.wikipedia.org/wiki/1968_Green_Bay_Packers_season	Q213837	Green Bay Packers (Q213837)	Q3515497	1968 Green Bay Packers season (Q3515497)
26	1	0	14	Miami Dolphins	http://en.wikipedia.org/wiki/1968_Miami_Dolphins_season	Q223243	Miami Dolphins (Q223243)	Q2909709	1968 Miami Dolphins season (Q2909709)
