"1992_Major_League_Baseball_draft"
row	col	start	end	text	url	entity	entity_desc	old_entity	old_entity_desc
0	4	0	19	Cal State Fullerton	http://en.wikipedia.org/wiki/Cal_State_Fullerton_Titans_baseball	Q1026925	California State University, Fullerton (Q1026925)	Q5018220	Cal State Fullerton Titans baseball (Q5018220)
1	4	0	28	University of North Carolina	http://en.wikipedia.org/wiki/North_Carolina_Tar_Heels_baseball	Q192334	University of North Carolina at Chapel Hill (Q192334)	Q7054627	North Carolina Tar Heels baseball (Q7054627)
2	4	0	28	Mississippi State University	http://en.wikipedia.org/wiki/Mississippi_State_Bulldogs_baseball	Q1939211	Mississippi State University (Q1939211)	Q6879315	Mississippi State Bulldogs baseball (Q6879315)
3	4	0	19	Stanford University	http://en.wikipedia.org/wiki/Stanford_Cardinal_baseball	Q41506	Stanford University (Q41506)	Q7598724	Stanford Cardinal baseball (Q7598724)
4	4	0	29	University of Central Florida	http://en.wikipedia.org/wiki/UCF_Knights_baseball	Q143451	University of Central Florida (Q143451)	Q7863942	UCF Knights baseball (Q7863942)
6	4	0	19	University of Texas	http://en.wikipedia.org/wiki/Texas_Longhorns_baseball	Q49213	University of Texas at Austin (Q49213)	Q7707818	Texas Longhorns baseball (Q7707818)
7	4	0	4	UCLA	http://en.wikipedia.org/wiki/UCLA_Bruins_baseball	Q174710	University of California, Los Angeles (Q174710)	Q7864002	UCLA Bruins baseball (Q7864002)
9	4	0	19	Longwood University	http://en.wikipedia.org/wiki/Longwood_University	Q3551429	Longwood University (Q3551429)	Q3551429	Longwood University (Q3551429)
10	4	0	21	Pepperdine University	http://en.wikipedia.org/wiki/Pepperdine_Waves	Q117876	Pepperdine University (Q117876)	Q7166401	Pepperdine Waves (Q7166401)
11	4	0	24	Florida State University	http://en.wikipedia.org/wiki/Florida_State_Seminoles_baseball	Q861548	Florida State University (Q861548)	Q5461627	Florida State Seminoles baseball (Q5461627)
12	4	0	20	Creighton University	http://en.wikipedia.org/wiki/Creighton_Bluejays	Q770544	Creighton University (Q770544)	Q5184000	Creighton Bluejays (Q5184000)
13	4	0	27	University of Massachusetts	http://en.wikipedia.org/wiki/UMass_Minutemen	Q15142	University of Massachusetts Amherst (Q15142)	Q2590997	UMass Minutemen (Q2590997)
14	4	0	24	Arizona State University	http://en.wikipedia.org/wiki/Arizona_State_Sun_Devils_baseball	Q670897	Arizona State University (Q670897)	Q4791427	Arizona State Sun Devils baseball (Q4791427)
15	4	0	26	Louisiana State University	http://en.wikipedia.org/wiki/LSU_Tigers_baseball	Q1521725	Louisiana State University (Q1521725)	Q16197506	LSU Tigers baseball (Q16197506)
17	4	0	24	Florida State University	http://en.wikipedia.org/wiki/Florida_State_Seminoles_baseball	Q861548	Florida State University (Q861548)	Q5461627	Florida State Seminoles baseball (Q5461627)
19	4	0	26	San Diego State University	http://en.wikipedia.org/wiki/San_Diego_State_Aztecs_baseball	Q913861	San Diego State University (Q913861)	Q16969667	San Diego State Aztecs baseball (Q16969667)
21	4	0	19	Stanford University	http://en.wikipedia.org/wiki/Stanford_Cardinal_baseball	Q41506	Stanford University (Q41506)	Q7598724	Stanford Cardinal baseball (Q7598724)
23	4	0	27	Bishop State Junior College	http://en.wikipedia.org/wiki/Bishop_State_Community_College	Q4917715	Bishop State Community College (Q4917715)	Q4917715	Bishop State Community College (Q4917715)
24	4	0	24	Arizona State University	http://en.wikipedia.org/wiki/Arizona_State_Sun_Devils_baseball	Q670897	Arizona State University (Q670897)	Q4791427	Arizona State Sun Devils baseball (Q4791427)
26	4	0	21	University of Florida	http://en.wikipedia.org/wiki/Florida_Gators_baseball	Q501758	University of Florida (Q501758)	Q5461389	Florida Gators baseball (Q5461389)
27	4	0	19	University of Miami	http://en.wikipedia.org/wiki/Miami_Hurricanes_baseball	Q738258	University of Miami (Q738258)	Q6827330	Miami Hurricanes baseball (Q6827330)
28	4	0	23	University of Minnesota	http://en.wikipedia.org/wiki/Minnesota_Golden_Gophers_baseball	Q238101	University of Minnesota (Q238101)	Q6868252	Minnesota Golden Gophers baseball (Q6868252)
30	4	0	17	Purdue University	http://en.wikipedia.org/wiki/Purdue_Boilermakers	Q217741	Purdue University (Q217741)	Q1752323	Purdue Boilermakers (Q1752323)
35	4	0	4	UCLA	http://en.wikipedia.org/wiki/UCLA_Bruins_baseball	Q174710	University of California, Los Angeles (Q174710)	Q7864002	UCLA Bruins baseball (Q7864002)
36	4	0	21	University of Georgia	http://en.wikipedia.org/wiki/Georgia_Bulldogs_baseball	Q761534	University of Georgia (Q761534)	Q5547366	Georgia Bulldogs baseball (Q5547366)
