"List_of_A.S._Roma_players_(25–99_appearances)"
row,col,start,end,url,entity
0,2,0,2,,Q193592
1,2,0,2,,Q193592
4,2,0,2,,Q336286
5,2,0,2,,Q193592
6,2,0,2,,Q336286
7,2,0,2,,Q336286
8,2,0,2,,Q280658
10,2,0,2,,Q336286
11,2,0,2,,Q336286
12,2,0,2,,Q193592
13,2,0,2,,Q193592
14,2,0,2,,Q201330
15,2,0,2,,Q193592
16,2,0,2,,Q193592
17,2,0,2,,Q280658
19,2,0,2,,Q193592
20,2,0,2,,Q280658
21,2,0,2,,Q201330
22,2,0,2,,Q201330
23,2,0,2,,Q280658
24,2,0,2,,Q193592
25,2,0,2,,Q336286
26,2,0,2,,Q193592
27,2,0,2,,Q336286
28,2,0,2,,Q193592
29,2,0,2,,Q193592
30,2,0,2,,Q193592
31,2,0,2,,Q280658
32,2,0,2,,Q193592
33,2,0,2,,Q193592
34,2,0,2,,Q201330
35,2,0,2,,Q336286
36,2,0,2,,Q336286
37,2,0,2,,Q336286
38,2,0,2,,Q280658
39,2,0,2,,Q280658
40,2,0,2,,Q193592
42,2,0,2,,Q201330
43,2,0,2,,Q336286
44,2,0,2,,Q193592
46,2,0,2,,Q280658
47,2,0,2,,Q193592
48,2,0,2,,Q201330
49,2,0,2,,Q280658
51,2,0,2,,Q280658
52,2,0,2,,Q201330
54,2,0,2,,Q193592
55,2,0,2,,Q280658
56,2,0,2,,Q280658
57,2,0,2,,Q193592
58,2,0,2,,Q336286
60,2,0,2,,Q280658
61,2,0,2,,Q280658
62,2,0,2,,Q280658
63,2,0,2,,Q201330
65,2,0,2,,Q336286
67,2,0,2,,Q193592
69,2,0,2,,Q280658
71,2,0,2,,Q336286
73,2,0,2,,Q336286
74,2,0,2,,Q280658
75,2,0,2,,Q201330
76,2,0,2,,Q280658
78,2,0,2,,Q336286
80,2,0,2,,Q336286
81,2,0,2,,Q193592
82,2,0,2,,Q193592
83,2,0,2,,Q280658
84,2,0,2,,Q193592
86,2,0,2,,Q280658
87,2,0,2,,Q280658
88,2,0,2,,Q201330
89,2,0,2,,Q336286
92,2,0,2,,Q336286
93,2,0,2,,Q201330
94,2,0,2,,Q280658
95,2,0,2,,Q280658
97,2,0,2,,Q193592
98,2,0,2,,Q193592
99,2,0,2,,Q193592
