"Major_professional_sports_teams_of_the_United_States_and_Canada"
row,col,start,end,url,entity
0,4,0,3,,Q1215892
1,4,0,3,,Q1215884
2,4,0,3,,Q1215892
3,4,0,3,,Q1163715
4,4,0,3,,Q1163715
5,4,0,3,,Q1215884
6,4,0,3,,Q155223
7,4,0,3,,Q18543
8,4,0,3,,Q18543
9,4,0,3,,Q1163715
10,4,0,3,,Q1215884
11,4,0,3,,Q1032175
12,4,0,3,,Q1215892
13,4,0,3,,Q155223
14,4,0,3,,Q1163715
15,4,0,3,,Q155223
16,4,0,3,,Q1215884
17,4,0,3,,Q1215892
18,4,0,3,,Q1215892
19,4,0,3,,Q1032175
20,4,0,3,,Q1215892
21,4,0,3,,Q1215884
22,4,0,3,,Q155223
23,4,0,3,,Q18543
24,4,0,3,,Q1215884
25,4,0,3,,Q1215892
26,4,0,3,,Q155223
27,4,0,3,,Q1163715
28,4,0,3,,Q18543
29,4,0,3,,Q1163715
30,4,0,3,,Q1215884
31,4,0,3,,Q1163715
32,4,0,3,,Q18543
33,4,0,3,,Q1215884
34,4,0,3,,Q155223
35,4,0,3,,Q1163715
36,4,0,3,,Q1215892
37,4,0,3,,Q18543
38,4,0,3,,Q1163715
39,4,0,3,,Q1215892
40,4,0,3,,Q18543
41,4,0,3,,Q18543
42,4,0,3,,Q1215884
43,4,0,3,,Q155223
44,4,0,3,,Q1215892
45,4,0,3,,Q18543
46,4,0,3,,Q1215884
47,4,0,3,,Q155223
48,4,0,3,,Q1215884
49,4,0,3,,Q155223
50,4,0,3,,Q1215892
51,4,0,3,,Q1163715
52,4,0,3,,Q1032175
53,4,0,3,,Q1215892
54,4,0,3,,Q1215892
55,4,0,3,,Q155223
56,4,0,3,,Q1215884
57,4,0,3,,Q1032175
58,4,0,3,,Q1163715
59,4,0,3,,Q18543
60,4,0,3,,Q155223
61,4,0,3,,Q1215884
62,4,0,3,,Q155223
63,4,0,3,,Q1215884
64,4,0,3,,Q1215884
65,4,0,3,,Q18543
66,4,0,3,,Q1215884
67,4,0,3,,Q1163715
68,4,0,3,,Q18543
69,4,0,3,,Q1215884
70,4,0,3,,Q1163715
71,4,0,3,,Q1215884
72,4,0,3,,Q155223
73,4,0,3,,Q1163715
74,4,0,3,,Q18543
75,4,0,3,,Q1215892
76,4,0,3,,Q155223
77,4,0,3,,Q1215884
78,4,0,3,,Q155223
79,4,0,3,,Q1215884
80,4,0,3,,Q155223
81,4,0,3,,Q18543
82,4,0,3,,Q1163715
83,4,0,3,,Q1163715
84,4,0,3,,Q155223
85,4,0,3,,Q155223
86,4,0,3,,Q1163715
87,4,0,3,,Q18543
88,4,0,3,,Q1215884
89,4,0,3,,Q1215892
90,4,0,3,,Q1032175
91,4,0,3,,Q1215892
92,4,0,3,,Q18543
93,4,0,3,,Q1215892
94,4,0,3,,Q18543
95,4,0,3,,Q1215884
96,4,0,3,,Q18543
97,4,0,3,,Q1215892
98,4,0,3,,Q155223
99,4,0,3,,Q1215884
100,4,0,3,,Q18543
101,4,0,3,,Q1215884
102,4,0,3,,Q1215892
103,4,0,3,,Q1215892
104,4,0,3,,Q1215884
105,4,0,3,,Q155223
106,4,0,3,,Q1163715
107,4,0,3,,Q1215892
108,4,0,3,,Q18543
109,4,0,3,,Q1163715
110,4,0,3,,Q1163715
111,4,0,3,,Q155223
112,4,0,3,,Q18543
113,4,0,3,,Q155223
114,4,0,3,,Q1032175
115,4,0,3,,Q1215892
116,4,0,3,,Q155223
117,4,0,3,,Q1215884
118,4,0,3,,Q1215892
119,4,0,3,,Q1163715
120,4,0,3,,Q18543
121,4,0,3,,Q155223
122,4,0,3,,Q1215892
123,4,0,3,,Q1163715
124,4,0,3,,Q1215884
125,4,0,3,,Q155223
126,4,0,3,,Q18543
127,4,0,3,,Q155223
128,4,0,3,,Q18543
129,4,0,3,,Q18543
130,4,0,3,,Q155223
131,4,0,3,,Q1163715
132,4,0,3,,Q1215884
133,4,0,3,,Q1163715
134,4,0,3,,Q18543
135,4,0,3,,Q1215892
136,4,0,3,,Q1032175
137,4,0,3,,Q1215892
138,4,0,3,,Q1163715
139,4,0,3,,Q18543
140,4,0,3,,Q1163715
141,4,0,3,,Q1215892
142,4,0,3,,Q1215884
143,4,0,3,,Q18543
144,4,0,3,,Q1215884
145,4,0,3,,Q1215892
146,4,0,3,,Q1163715
147,4,0,3,,Q1215884
148,4,0,3,,Q1163715
149,4,0,3,,Q1032175
150,4,0,3,,Q1163715
151,4,0,3,,Q18543
152,4,0,3,,Q1215892
153,4,0,3,,Q155223
154,4,0,3,,Q155223
155,4,0,3,,Q1215892
156,4,0,3,,Q18543
157,4,0,3,,Q1215892
158,4,0,3,,Q1215892
159,4,0,3,,Q1163715
160,4,0,3,,Q1215884
161,4,0,3,,Q155223
162,4,0,3,,Q1032175
163,4,0,3,,Q1215892
