"The_Rolling_Stones_American_Tour_1966"
row,col,start,end,url,entity
0,2,0,13,,Q30
1,2,0,13,,Q30
2,2,0,13,,Q30
3,1,0,16,,Q61
3,2,0,13,,Q30
4,2,0,13,,Q30
5,2,0,13,,Q30
6,2,0,13,,Q30
7,2,0,6,,Q16
8,2,0,6,,Q16
9,2,0,13,,Q30
10,1,0,13,,Q60
10,2,0,13,,Q30
11,2,0,13,,Q30
12,2,0,13,,Q30
13,2,0,13,,Q30
14,2,0,13,,Q30
15,2,0,13,,Q30
16,2,0,13,,Q30
17,2,0,13,,Q30
18,2,0,13,,Q30
19,2,0,6,,Q16
20,2,0,13,,Q30
21,2,0,6,,Q16
22,2,0,13,,Q30
23,2,0,13,,Q30
24,2,0,13,,Q30
25,2,0,13,,Q30
26,2,0,13,,Q30
27,1,0,11,,Q65
27,2,0,13,,Q30
28,2,0,13,,Q30
29,2,0,13,,Q30
