"Vedha_(music_director)"
row,col,start,end,url,entity
0,2,0,7,,Q13267
1,2,0,7,,Q13267
2,2,0,7,,Q13267
3,2,0,5,,Q5885
4,2,0,7,,Q13267
5,2,0,5,,Q5885
6,2,0,7,,Q13267
7,2,0,5,,Q5885
8,2,0,5,,Q5885
9,2,0,5,,Q5885
10,2,0,5,,Q5885
11,2,0,5,,Q5885
12,2,0,5,,Q5885
13,2,0,5,,Q5885
14,2,0,5,,Q5885
15,2,0,5,,Q5885
16,2,0,5,,Q5885
17,2,0,5,,Q5885
18,2,0,5,,Q5885
19,2,0,5,,Q5885
20,2,0,5,,Q5885
21,2,0,5,,Q5885
22,2,0,5,,Q5885
24,2,0,5,,Q5885
25,2,0,5,,Q5885
26,2,0,5,,Q5885
27,2,0,5,,Q5885
28,2,0,5,,Q5885
29,2,0,5,,Q5885
30,2,0,5,,Q5885
31,2,0,5,,Q5885
32,2,0,5,,Q5885
33,2,0,5,,Q5885
34,2,0,5,,Q5885
35,2,0,5,,Q5885
