column,row,GT_kg_id,GT_kg_label,label
1,2,Q486351,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
1,4,Q76255,Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare
1,11,Q746459,Deus Ex,Deus Ex
1,6,Q2377,Civilization IV,Civilization IV
1,12,Q627877,Unreal Tournament,Unreal Tournament
1,8,Q725902,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic
1,3,Q221164,Fallout 3,Fallout 3
1,0,Q323862,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim
1,10,Q149106,Grand Theft Auto III,Grand Theft Auto III
1,5,Q735613,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess
1,7,Q252804,Halo 2,Halo 2
1,1,Q548203,Red Dead Redemption,Red Dead Redemption
1,9,Q1765733,Metroid Prime,Metroid Prime
