Company,Industry,Employees
"Fort Detrick Campus (Army, National Cancer Institute and other tenants","Army, National Cancer Institute and tenants","9,200"
Frederick County Board of Education,Public Education,"5,540"
Frederick Memorial Healthcare System,Comprehensive Health Care,"2,295"
Bechtel Corporation,"Headquarters - Global Engineering, Construction and Telecommunications","2,203"
Frederick County Government,County Government,"2,130"
SAIC-Frederick,Medical Research,"1,965"
Wells Fargo Home Mortgage,Mortgage Loans & Service Center,"1,500"
Frederick Community College,Two-Year College,899
Frederick City Government,Municipal Government,852
United Health Care,Insurance,832
State Farm Insurance Co.,Regional Headquarters,793
Wal-Mart,Consumer Goods,700
"National Emergency Training Center (US Fire Academy, FEMA, and other tenants",Federal Government,577
Wegman's,Grocery Store,550
Mount Saint Mary's University,Four-Year College,511
Home Call,In-Home Medical Services,480
NVR Building Products,Wood Building Products,450
"Lonza Bio Science Walkersville, Inc",Biological Products,400
Hood College,Four Year College,418
Plamondon Companies,"Hospitality (Hotels, Restaurants & Restaurant Management)",396
RR Donnelley,Business Documents,387
"Stulz Air Technology Systems, Inc.","Manufacturer, Commercial Air Conditioners and Dehumidifiers",380
Frederick County Family YMCA,Recreation and Sports Center,350
Home Depot,Retail Stores,330
Homewood Retirement Center,Retirement Community,275
Richard F. Kline,Asphalt Contractors,275
Experient,Conference Services,270
Canam Steel Corporation,Steel Joists and Trusses,266
Maryland School for the Deaf,Educational Institution,266
Trans-Tech,Ceramic Components,260
Toys-R-Us,Toy Distribution Warehouse & Retail Store,260
Fountain Rock Management Group Corp,Restaurant Management Services,250
Fannie Mae,Home Loan Products - Data Center,250
Life Technologies,Biotech Research,250
MedImmune,BioTech Manufacturing,246
Tyler Companies,"Real Estate, HVAC and Mechanical Contracting Services",245
BB&T,Full Service Community Bank,242
Costco Wholesale,Wholesale General Products,232
Verizon,Telecommunications,226
PNC Bank,Banking Headquarters & Regional Branches,226
Tamko Roofing Products,Asphalt Shingle & Coating Materials Mfg,213

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"Major Employers | Frederick County Office of Economic Development","page_url":"http://www.discoverfrederickmd.com/BusinessSupport/major_employers.htm","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"Major Employers Fort Detrick Business Development Utilities Transportation Workforce Incentives & Taxes Industry Support » Major Employers Business Directory Partner Organizations Agricultural Business Council Business Development Advisory Council Staff Directory Services ABOUT OED Fast Facts Videos Publications OED News Blog eNews Upcoming Events Media Releases NEWS & DATA Municipalities Recreation Housing History Healthcare Education Resources QUALITY OF LIFE Entrepreneur Support Network FITCI Incubator Small Business Loan Fund Small Business Development Center EMERGING BUSINESS","element":{"root":0,"nodes":[{"tag":"","start":0,"end":588,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"Please email updates to info@discoverfrederickmd.com Industry Focus Advanced Technology Agriculture Bioscience Manufacturing Renewable/Sustainable Industries Site Selection Available Properties Fast Track Permitting Demographics Location Economic Facts Government Business Support Business Directory Major Employers Industry Support Incentives & Taxes Workforce Transportation Utilities Fort Detrick Business Development Emerging Business Small Business Development Center Small Business Loan Fund FITCI Incubator Entrepreneur Support Network Quality of Life Resources Education Healthcare History Housing Recreation Municipalities News & Data Media Releases Upcoming Events eNews OED News Blog Publications Videos Fast Facts About OED Services Staff Directory Business Development Advisory Council Agricultural Business Council Partner Organizations Winchester Hall, 12 E. Church St., Frederick, MD 21701 (301) 600-1058  •  (800) 248-2296  •   info@discoverfrederickmd.com © Frederick County Office of Economic Development. All Rights Reserved.","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1058,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]]]}
