CREATOR,CREATION,AGE (years)
Louis Braille,Invented a system of printing and writing for the blind,15
Blaise Pascal,Formulated Pascal?s Theorem,16
Galileo Galilei,Discovered the laws of pendulum motion at the age of Law of falling bodies,17
Edwin Land,Patented his first polarizing light filter,19
George Westinghouse,First patent for a rotary steam engine Invented airbrakes,19 22
Guglielmo Marconi,Invented a system of radio telegraphy,21
Joshua Lederberg,Discovered bacterial conjugation,21
Thomas Edison,Invented automated relaying communications device,22
Carl Gauss,Proved the theorem of complex coefficients,22
John Nash,Published his theory of non-cooperative games,22
Brian Josephson,Predicted the Josephson effect,22
James Hillier,Developed the electron microscope,22
Isaac Newton,"Calculus, principles of optics, elements of circular motion inverse square law of gravity",23
Louis Parker,Invented a low frequency receiver for radio waves,23
Srinivasa Ramanujan,Published his first mathematical papers,24
Satyendra Bose,Published is first statistical mechanics papers,24
Paul Dirac,Quantum mechanics for motion of atomic particles,24
Richard Feynman,Published his theory of electromagnetic waves,24
Walt Disney,Drew his first animated cartoon,24
Max Perutz,Crystallographic studies of glaciers Applied Xray crystallography to study hemoglobin,24 25
James Clerk Maxwell,Published first paper on electromagnetic lines of force,25
Enrico Fermi,Postulated his statistical laws,25
Earnest Rutherford,"Discovered the alpha, beta and gamma radiation",25
George Eastman,Made commercial dry photographic plates,25
James Watson,Co-published his paper on DNA,25
Louis Pasteur,Discovered tartarate isomers,26
Henri Poincare,Created automorphic functions,26
Albert Einstein,Published 3 ground-breaking articles (including relativity),26
Niels Bohr,Proposed his model of the Bohr atom,26
Werner Heisenberg,Derived his uncertainty principle,26
Nicola Tesla,Constructed his first induction motor,27
Linus Pauling,Laid down Pauling?s Rules,27
Lee Tsung-Dao,Discovered the decay modes of kaon,29

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"Ken's Reflections - Bravenet Blog","page_url":"http://kenlyen.bravejournal.com/","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"              Arnold Ludwig studied a sample of 59 female writers attending a Women Writers Conference and found that psychiatric problems were higher in writers compared with non-writers:   Kay Redfield Jamison in 1989 studied 47 distinguished British writers and visual artists, and found that 38% of them had been previously treated for a mood disorder, including bipolar disorder, which compares with less than 15% of the British general population.   Fortunately, there are a few studies of contemporary artists, writers and musicians. In 1974, Nancy Andreasen from the University of Iowa studied 30 faculty members attending a writers? workshop and matched them with 30 controls. She found that 80% of participating writers suffered from depression or bipolar disorder, compared to 30% of her controls.   a) Studying Creative Individuals Eminent historical individuals have been studied by researching their biographies to see what percentage of them have psychiatric illnesses. In 1949, Adele Juda investigated 113 German artists, architects, composers","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1074,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"Brian Josephson Predicted the Josephson effect 22 James Hillier Developed the electron microscope 22 Isaac Newton Calculus, principles of optics, elements of circular motion inverse square law of gravity 23 Louis Parker Invented a low frequency receiver for radio waves 23 Srinivasa Ramanujan Published his first mathematical papers 24 Satyendra Bose Published is first statistical mechanics papers 24 Paul Dirac Quantum mechanics for motion of atomic particles 24 Richard Feynman Published his theory of electromagnetic waves 24 Walt Disney Drew his first animated cartoon 24 Max Perutz","element":{"root":0,"nodes":[{"tag":"","start":0,"end":587,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]]]}
