Museum,City,State,
Albright-Knox Art Gallery,Buffalo,New York,
Allen Memorial Art Museum,Oberlin,Ohio,
Amon Carter Museum,Fort Worth,Texas,
Andy Warhol Museum,Pittsburgh,Pennsylvania,
Arkansas Arts Center,Little Rock,Arkansas,
Art Institute of Chicago,Chicago,Illinois,
Artpace,San Antonio,Texas,
Asia Society,New York,New York,
Baltimore Museum of Art,Baltimore,Maryland,
Barnes Foundation,Lower Merion Township,Pennsylvania,
Bass Museum,Miami Beach,Florida,
Birmingham Museum of Art,Birmingham,Alabama,
Blue Star Contemporary Art Center,San Antonio,Texas,
Boston Museum of Fine Arts,Boston,Massachusetts,
Bowdoin College Museum of Art,Brunswick,Maine,
Brandywine River Museum,Chadds Ford,Pennsylvania,
Brooklyn Museum,New York,New York,
California Palace of the Legion of Honor,San Francisco,California,
Carnegie Museum of Art,Pittsburgh,Pennsylvania,
Chrysler Museum of Art,Norfolk,Virginia,
Cincinnati Art Museum,Cincinnati,Ohio,
Clark Art Institute,Williamston,Massachusetts,
Columbia Museum of Art,Columbia,South Carolina,
Columbus Museum of Art,Columbus,Ohio,
Cooper-Hewitt Museum,New York,New York,
Corcoran Gallery of Art,"Washington, D.C.",D.C.,
Cranbrook Art Museum,Detroit,Michigan,
Currier Museum of Art,Manchester,New Hampshire,
Dahesh Museum,New York,New York,
Dallas Museum of Art,Dallas,Texas,
Delaware Art Museum,Wilmington,Delaware,
Denver Art Museum,Denver,Colorado,
Des Moines Art Center,Des Moines,Iowa,
Dixon Gallery and Gardens,Memphis,Tennessee,
Dumbarton Oaks,"Washington, D.C.",D.C.,
Farnsworth Art Museum,Rockland,Maine,
Fenimore Art Museum,Cooperstown,New York,
Frick Museum,New York,New York,
Frost Art Museum,Miami,Florida,
Gibbes Museum of Art,Charleston,South Carolina,
Grand Rapids Art Museum,Grand Rapids,Michigan,
Guggenheim Museum,New York,New York,
Harvard Art Museum,Cambridge,Massachusetts,
Henry Francis DuPont Winterthur Museum,Greenville,Delaware,
High Museum of Art,Atlanta,Georgia,
Hirshhorn Museum and Sculpture Garden,"Washington, D.C.",D.C.,
Hispanic Society of America,New York,New York,
Honolulu Academy of Arts,Honolulu,Hawaii,
Hood Museum of Art,Hanover,New Hampshire,
Hudson River Museum,Yonkers,New York,
Hyde Collection,Glens Falls,New York,
Indianapolis Museum of Art,Indianapolis,Indiana,
Isabella Stewart Gardner Museum,Boston,Massachusetts,
J. Paul Getty Museum,Los Angeles,California,
Jacques Marchais Museum of Tibetan Art,New York,New York,
