Province,Ville,Hôpital,Participation,Option*
Colombie-Britannique,Vancouver,Vancouver General Hospital,Oui,3
,Vancouver,Richmond General Hospital,Oui,3
,Vancouver,Lion’s Gate,Oui,3
,Vancouver,Powell River,Oui,3
,Vancouver,St. Mary’s Hospital,Oui,3
,Vancouver,Squamish Hospital,,3
,Vancouver,Victoria General,,3
,Vancouver,Royal Jubilee,,
,Vancouver,Children’s and Women’s Health Center,,
Alberta,Calgary,Peter Lougheed,,
,Calgary,Rockyview General,,
,Calgary,Foothills Hospital,,
,Calgary,Alberta Children’s Hospital,Oui,Péd VEN†
,Calgary,Rockyview Hospital,,
,Edmonton,University of Alberta Hospital,Oui,3
,Edmonton,Stollery Children’s Hospital,Oui,Péd VEN†
Saskatchewan,Saskatoon,Royal University Hospital,Oui,3
Manitoba,Winnipeg,,Oui,3
,Winnipeg,"Université du Manitoba, Maladies infectieuses pédiatriques",Oui,Péd VEN†
Ontario,London,St. Joseph’s Health care,,
,London,Children’s Hospital of Western Ontario,,
,London,Victoria Hospital,,
,London,University Hospital,,
,Toronto,Toronto Western Hospital,Oui,3
,Toronto,Toronto General Hospital,,
,Toronto,Princess Margaret Hospital,,
,Toronto,Mount Sinai Hospital,Oui,3
,Toronto,Sunnybrook Health Science Centre,Oui,1
,Toronto,The Hospital for Sick Children,Oui,Péd VEN†
,Kingston,Kingston General Hospital,,
,Hamilton,Hamilton Health Sciences Centre,Oui,3
,Hamilton,McMaster Site,Non,
,Hamilton,Chedoke,Non,
,Hamilton,Henderson & General Sites,Non,
,Hamilton,St. Joseph’s Healthcare,Oui,1
,Ottawa,L’Hôpital d’Ottawa,Oui,(Sept)
,Ottawa,Campus Civic,Oui,
,Ottawa,Institut général et de cardiologie,Oui,
,Ottawa,Centre hospitalier pour enfants de l'Est de l'Ontario,Oui,Péd VEN†
Québec,Montréal,Hôpital général juif – SMBD,Oui,3
,Montréal,Hôpital de Montréal pour enfants,Oui,Péd VEN†
,Montréal,Hôpital Maisonneuve-Rosemont,,
