Dial Location,Call Letters,Format,Address,Telephone
AM 790,KABC (Talk Radio),News/Talk,"3321 S La Cienega Blvd, Los Angeles 90016",(310) 840-4901
AM 900,KALI AM (simulcast of KBLA),Spanish Variety,"12145 Woodruff Ave, Downey 90242",(562) 401- 4030
AM 610,KAVL (Fox Sports 610),Sports,"352 E Ave K-4, Lancaster 93535",(661) 942-1121
AM 1600,KAHZ (simulcast of KAZN),Chinese Programming,"747 E Green St, #400 Pasadena 91101",(626) 568-1300
AM 1300,KAZN (Asian Radio),Mandarin Programming,"747 E Green St, #400, Pasadena 91101",(626) 568-1300
AM 1580,KBLA (Radio Zion),Spanish Variety,"12145 Woodruff Ave, Downey 90242",(562) 401- 4030
AM 740,KBRT (K-Brite),Christian Talk,"3183-D Airway Ave, Costa Mesa 92626",(714) 754-4450
AM 1110,KDIS (Radio Disney),Children?s Radio,"500 S Buena Vista St, MC 6107, Burbank 91505",(818) 569-5035
AM 1240,KEZY (Nueva Vida),Spanish Christian,"4880 Santa Rosa RD, #300, Camarillo 93012",(805) 482-4797
AM 640,KFI (More Stimulating Talk Radio),Talk,"3400 W Olive Ave, #550, Burbank 91505",(818) 559-2252
AM 1650,KFOX (Radio Seoul),Korean Programming,"4525 Wilshire Blvd, Los Angeles 90010",(310) 936-0606
AM 1280,KFRN (Family Radio),Christian Programming,"3550 Long Beach Bl, Ste D4, Long Beach 90807",(562) 427-7773
AM 980,KFWB (News 98),News,"5670 Wilshire Blvd, #200, Los Angeles 90036",(323) 525-0980
AM 540/1260,KGIL (Retro 1260),Adult Standards/Oldies,"1500 Cotner Ave, Los Angeles 90025",(310) 478-5540
AM 930,KHJ (La Ranchera),Spanish Regional,"1845 W Empire Ave, Burbank 91504",(323) 729-5300
AM 670,KIRN (Radio Iran),Iranian Programming,"3301 Barham Blvd, Los Angeles 90068",(323) 851-5476
AM 830,KLAA (AM 830),Sports,"Angel Stadium 2000 Gene Autry Way, Anaheim 92806",(714) 940-2500
AM 570,KLAC (AM 570 Sports),Sports,"3400 W Olive Ste, # 550, Burbank 91505",(818) 559-2252
AM 1390,KLTX (Nueva Vida),Spanish Christian,"4880 Santa Rosa RD, #300, Camarillo 93012",(805) 482-4797
AM 1540,KMPC (Radio Korea),Korean Programming,"3700 Wilshire Bl, #510, Los Angeles 90010",(213) 251-1990
AM 1430,KMRB,Cantonese Programming,"747 East Green St, Pasadena 91101",(626) 773-2742
AM 1070,KNX (News Radio),News,"5670 Wilshire Blvd, #200, Los Angeles 90036",(323) 569-1070
AM 870,KRLA (News Talk),Talk,"701 N Brand, #550, Glendale 91203",(818) 956-5552
AM 1130,KSDO (Nueva Vida),Spanish Christian,"4880 Santa Rosa RD, #300, Camarillo 93012",(805) 482-4797
