Company,Industry,Overall score
Abbott Laboratories,Pharmaceuticals,6.68
Adobe Systems,Computer Software,7.31
Aetna,Health Care: Insurance and Managed Care,6.79
Alcoa,Metals,7.24
Apple,Computers,7.95
Aramark,Diversified Outsourcing Services,6.60
Archer Daniels Midland,Food Production,7.20
Automatic Data Processing,Financial Data Services,6.69
Avnet,Wholesalers: Office Equipment and Electronics,6.55
BASF,Chemicals,7.04
Becton Dickinson,Medical and Other Precision Equipment,6.90
Berkshire Hathaway,Insurance: Property and Casualty,7.12
BMW,Motor vehicles,6.94
C.H. Robinson Worldwide,"Trucking, Transportation, Logistics",7.14
Caterpillar,Industrial and Farm Equipment,7.06
Cisco Systems,Network and Other Communications Equipment,7.83
Coca-Cola,Beverages,6.98
Costco Wholesale,Specialty Retailers,6.67
CVS/Caremark,Food and Drug Stores,6.67
DaVita,Health Care: Medical Facilities,6.54
E.ON,Energy,7.06
EMCOR Group,Engineering and Construction,6.42
Exxon Mobil,Petroleum Refining,7.36
FMC Technologies,"Oil and Gas Equipment, Services",7.94
FPL Group,Electric & Gas Utilities,7.05
General Electric,Electronics,7.07
Goldman Sachs Group,Megabanks,7.66
Google,Internet Services and Retailing,7.70
Herman Miller,"Home Equipment, Furnishings",6.39
IBM,Information Technology Services,7.60
Intel,Semiconductors,7.96
International Paper,Forest and Paper Products,6.12
Marriott International,"Hotels, Casinos, Resorts",7.81
McDonald's,Food Services,8.08
McKesson,Wholesalers: Health Care,7.28
Medco Health Solutions,Health Care: Pharmacy and Other Services,6.57
Nestlé,Consumer Food Products,7.63
New York Life,Insurance: Life and Health,6.72
Nike,Apparel,8.15
Northern Trust,Superregional Banks,6.94
Occidental Petroleum,"Mining, Crude-Oil Production",7.27
Philip Morris International,Tobacco,7.72
Procter & Gamble,Soaps and Cosmetics,7.94
Robert Bosch,Motor Vehicle Parts,6.90
Robert Half International,Temporary Help,6.12
Singapore Airlines,Airlines,6.68
Sysco,Wholesalers: Food and Grocery,7.77
Toll Brothers,Homebuilders,6.77
United Technologies,Aerospace and Defense,7.32
UPS,Delivery,8.20
Verizon Communications,Telecommunications,6.67
Visa,Consumer Credit Card and Services,7.21
W.W. Grainger,Wholesalers: Diversified,7.55
Wal-Mart Stores,General Merchandisers,7.14
Walt Disney,Entertainment,8.00

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"World's Most Admired Companies 2010: Champions - FORTUNE on CNNMoney.com","page_url":"http://money.cnn.com/magazines/fortune/mostadmired/2010/champions/","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"These companies are the most admired in their sector, according to their peers. Industry champions Industry champions All industries All industries Global competitiveness Global competitiveness Product quality Product quality Long-term investment Long-term investment Financial soundness Financial soundness Mgmt. quality Mgmt. quality Social responsibility Social responsibility Use of assets Use of assets People mgmt. People mgmt. Innovation Innovation Industry champions } document.write(''); } else { document.write(''); if (location.pathname.match('/magazines/fortune/mostadmired/2010/champions/')) { } document.write(''); } else { document.write(''); if (location.pathname.match('/magazines/fortune/mostadmired/2010/industries/')) { } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst9.html')) ){ if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best9.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst8.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best8.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst7.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best7.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst6.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best6.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst5.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best5.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst4.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best4.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst3.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best3.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst2.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best2.html')) || } document.write(''); } else { document.write(''); (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/worst1.html')) ) { if ( (location.pathname.match('/magazines/fortune/mostadmired/2010/best_worst/best1.html')) || }","element":{"root":0,"nodes":[{"tag":"","start":0,"end":2882,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"From the March 22, 2010 issue Top 50 Headquarters Show: Top 50 | All Most Admired: The Americas | Europe | Asia/Australia Quick Vote Which company do you most admire? Apple Google or View results","element":{"root":0,"nodes":[{"tag":"","start":0,"end":195,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]],[[],[],[]]]}
