id,source,property,target_column,target_column_name,target_type
t2dv2__10151359_0_8168779773862259178,dbpedia:Book,http://dbpedia.org/ontology/author,1,Author,Person
t2dv2__10630177_0_4831842476649004753,dbpedia:Building,http://dbpedia.org/ontology/location,3,Stadt,City
t2dv2__11278409_0_3742771475298785475,dbpedia:Company,http://dbpedia.org/ontology/industry,2,Industry,Thing
t2dv2__11833461_1_3811022039809817402,dbpedia:VideoGame,http://dbpedia.org/ontology/publisher,1,Publisher,Company
t2dv2__12125836_0_1134348206297032434,dbpedia:RadioStation,http://dbpedia.org/ontology/programmeFormat,2,Format,
t2dv2__12183399_0_6725061928072492226,dbpedia:Country,http://dbpedia.org/ontology/currency,3,Currency,Currency
t2dv2__12193237_0_8699643798888088574,dbpedia:Country,http://dbpedia.org/ontology/language,3,Language,Language
t2dv2__12193237_0_8699643798888088574,dbpedia:Country,http://dbpedia.org/ontology/currency,2,Currency,Currency
t2dv2__12193237_0_8699643798888088574,dbpedia:Country,http://dbpedia.org/ontology/capital,1,Capital,City
t2dv2__12271141_0_8517913935669973086,dbpedia:Company,http://dbpedia.org/ontology/industry,2,Industry,Thing
t2dv2__13357355_0_5384862281417742530,dbpedia:FictionalCharacter,http://dbpedia.org/ontology/portrayer,1,INTERPRETI,
t2dv2__14067031_0_559833072073397908,dbpedia:Country,http://dbpedia.org/ontology/officialLanguage,1,Official Language,Language
t2dv2__14067031_0_559833072073397908,dbpedia:Country,http://dbpedia.org/ontology/currency,7,Name of Currency,Currency
t2dv2__14067031_0_559833072073397908,dbpedia:Country,http://dbpedia.org/ontology/capital,5,Capital,City
t2dv2__14311244_0_7604843865524657408,dbpedia:Mountain,http://dbpedia.org/ontology/mountainRange,2,RANGE,MountainRange
t2dv2__14380604_4_3329235705746762392,dbpedia:Company,http://dbpedia.org/ontology/headquarter,2,Headquarters,
t2dv2__14380604_4_3329235705746762392,dbpedia:Company,http://dbpedia.org/ontology/industry,3,Industry,Thing
