table_id,column,name
32812626_0_5428724146873158593,,
19272019_0_1508498249156534553,,
19272019_0_1508498249156534553,,
11688006_0_8123036130090004213,,
11688006_0_8123036130090004213,,
66009064_0_9148652238372261251,,
66009064_0_9148652238372261251,,
19361188_0_1640726405141876003,,
61121469_0_6337620713408906340,,
24417511_0_3058323105166963431,,
29886325_0_1448173912684571475,,
29886325_0_1448173912684571475,,
13357355_0_5384862281417742530,,
98458255_0_5873264818593370400,,
13395751_3_369722706637560735,,
13395751_3_369722706637560735,,
91474256_0_964747655387573523,,
14380604_4_3329235705746762392,,
52299421_0_4473286348258170200,,
37856682_0_6818907050314633217,,
14067031_0_559833072073397908,,
37541068_1_1156932518917623732,,
96203994_0_2127964719640427252,,
4444204_0_951426790527152756,,
8468806_0_4382447409703007384,,
57943722_0_8666078014685775876,,
8286121_0_8471791395229161598,,
21329809_0_5526008408364682899,,
12183399_0_6725061928072492226,,
86297395_0_6919201319699354263,,
86627271_6_2239821927452848323,,
55004961_0_2904467548072189860,,
30166286_0_1837439231599898748,,
34041816_1_4749054164534706977,,
11599512_1_280388135214354946,,
43469354_0_6029017163991310319,,
55238374_0_3379409961751009152,,
28646774_0_3256889721737611537,,
12271141_0_8517913935669973086,,
28079336_1_3124145965038277571,,
34899692_0_6530393048033763438,,
75154185_0_1607627349983289012,,
21337553_0_8832378999628437599,,
36102169_0_7739454799295072814,,
71137051_0_8039724067857124984,,
3887681_0_7938589465814037992,,
78891639_0_3299957631631122948,,
77632062_0_2292892375652659825,,
93078729_0_1451251196788678526,,
39107734_2_2329160387535788734,,
24036779_0_5608105867560183058,,
88523363_0_8180214313099580515,,
88523363_0_8180214313099580515,,
70404164_0_5498195978476333642,,
27466715_0_3913547177671701530,,
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2,,
53583534_0_503521622577229691,1,Gebäudename
39606331_0_1646213676302448706,,
24859353_0_7027810986004269522,1,Country
24859353_0_7027810986004269522,2,ISO 4217
24859353_0_7027810986004269522,3,Currency
43226272_0_5995103035300388365,2,
76275868_0_4528346580716713695,,
44005578_0_5400481538370055338,,
12746760_0_6703465836620308483,,
10630177_0_4831842476649004753,2,Gebäude
28494901_6_7026744149694237309,,
22987653_0_7774852112768859306,,
64207896_0_3206705146602325658,,
29021592_3_2299138476894681059,,
29021592_4_4348860179678308511,,
30645756_0_2413317245475669227,,
5873256_0_7795190905731964989,,
