table_id,skip,no_header,headers
79966524_0_1484492112455633784,0,0,
9206866_1_8114610355671172497,0,0,
60319454_0_3938426910282115527,0,0,
28494901_6_7026744149694237309,0,1,
9686394_0_5980699488362107028,0,0,
13395751_3_369722706637560735,0,0,
86747932_0_7532457067740920052,0,0,
44206774_0_3810538885942465703,1,0,
61121469_0_6337620713408906340,0,0,
28494901_6_7026744149694237309,0,1,
22987653_0_7774852112768859306,0,1,
45593932_0_6869375743660252130,1,0,
84675086_0_6386416780680710863,0,0,
64207896_0_3206705146602325658,0,1,
21585935_0_294037497010176843,0,0,
7929299_0_3253718003116029649,0,0,
57943722_0_8666078014685775876,0,0,
8286121_0_8471791395229161598,0,0,
41648740_0_6959523681065295632,0,0,
12183399_0_6725061928072492226,0,0,
29021592_3_2299138476894681059,0,1,
47709681_0_4437772923903322343,0,0,
86627271_6_2239821927452848323,0,0,
33242247_1_7232384061498591611,1,0,
55004961_0_2904467548072189860,0,0,
29021592_4_4348860179678308511,0,1,
30166286_0_1837439231599898748,0,0,
30645756_0_2413317245475669227,0,1,
24859353_0_7027810986004269522,0,0,"{""1"":""Country"",""2"":""ISO 4217"",""3"":""Currency""}"
43226272_0_5995103035300388365,0,1,
93078729_0_1451251196788678526,0,0,
33167985_0_5220049369716352813,0,0,
39107734_2_2329160387535788734,0,0,
74718406_0_3914457597478137388,0,0,
41480166_0_6681239260286218499,0,0,
44005578_0_5400481538370055338,0,0,
28646774_0_3256889721737611537,0,0,
28086084_0_3127660530989916727,0,0,
5873256_0_7795190905731964989,0,1,
78650283_0_5937576517849452289,0,0,
12193237_0_8699643798888088574,0,0,
